[2025-12-31 09:14:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-30
正在获取论文...
[IEEE] 2025-12-30 | Table of Contents
[NO] 306/1000 | Adaptive Multi-Node Speech Stream Synchronization Algorithm for Distributed Japanese Simultaneous Interpretation
[NO] 307/1000 | Brain-Computer Interface of Motor Imagery EEG Signal Using Hybrid GNN-Mamba Networks
[NO] 308/1000 | Uncertain Mode Surfaces in 3D Symmetric Second-Order Tensor Field Ensembles
[NO] 309/1000 | Forecast-Based Heuristic Algorithm for Voltage Magnitude Regulation in Microgrids
[NO] 310/1000 | Preliminary Results on a Hexagonal Lattice Meta-Lens for SatCom on the Move Applications
[NO] 311/1000 | The Hidden Variables in the Future of Quantum Computing in 6G
[NO] 312/1000 | Research on Data Feature Processing Model Based on Hierarchical Analysis and STFT
[NO] 313/1000 | Enhancing Lung Cancer Screening by Analysing Clinically Symptoms Using Machine Learning
[NO] 314/1000 | QCM Sensors Engineered from Cellulose Nanocrystals/Agar Composites for Enhanced Humidity Sensing
[NO] 315/1000 | DP-Morph: Improving the Privacy-Utility-Performance Trade-off for Differentially Private OCT Segmentation
[NO] 316/1000 | Table of Contents
[NO] 317/1000 | Day-Ahead PV Power Probability Density Forecasting With GAN-QRCNLSTM Based on High-Resolution Data Reconstruction
[NO] 318/1000 | Primary-Ambient Extraction Using Ambient Phase Estimation With Correlation Constraints
[NO] 319/1000 | CP-Free ODDM over General Doubly-Selective Fading Channels
[NO] 320/1000 | A Review of Next-Generation Sensor Technologies for Human-Machine Interaction
[NO] 321/1000 | Empowering Intelligent Low-Altitude Economy With Large AI Model Deployment
[NO] 322/1000 | Optimization of a Hybrid Graphene–Copper Terahertz Gas Sensor Using Machine Learning
[NO] 323/1000 | PASS-based Multi-User Communications: Capacity Characterization and Configuration Strategy
[NO] 324/1000 | Dual-IRS Aided Near-/Hybrid-Field SWIPT: Passive Beamforming and Independent Antenna Power Splitting Design
[NO] 325/1000 | 2025 IEEE PES Innovative Smart Grid Technologies Conference Europe (ISGT Europe)
[NO] 326/1000 | Front Cover
[NO] 327/1000 | NeeCo: Image Synthesis of Novel Instrument States Based on Dynamic and Deformable 3D Gaussian Reconstruction
[NO] 328/1000 | Remotely Sensed Flood Depth by Emulating Flood Recession Algorithm from Imperfect Extent and Topography
[NO] 329/1000 | Program Committee
[NO] 330/1000 | ISPCE-ASIA 2025 Author Index
[NO] 331/1000 | Common Mode Voltage Elimination and Zero-Sequence Circulating Current Reduction of Parallel Back-to-Back Converters
[NO] 332/1000 | Negative Photoconductivity Engineering in High-Sn GeSn/InP Heterostructures Enabling Record-Breaking Photoresponse for Short Wave Infrared Detection
[NO] 333/1000 | ICOSST 2025 Copyright Page
[NO] 334/1000 | The Tenth International Conference on Informatics and Computing (ICIC)
[NO] 335/1000 | Mapping and Revealing the River Ice Distribution and Changes in the Three Rivers Source Region From 1990 to 2023 Using Google Earth Engine
[NO] 336/1000 | A Comprehensive Approach for Mitigating Intradialytic Hypotension: Leveraging Enhanced Venous Return and Guided Respiratory Modulation in Patients with End-Stage Renal Disease
[NO] 337/1000 | AI-Powered Sustainable Wastewater Recycling Systems for Smart Cities Resource Management
[NO] 338/1000 | SAT-Based Approaches for Two-Dimensional Bin Packing: A Comprehensive Comparison with MIP and CP Methods
[NO] 339/1000 | Hybrid Bat Firefly Optimization for Real-Time Energy Aware Multi Objective Routing
[NO] 340/1000 | Analyzing Tourist Perceptions of Bali's Tourism Villages: A Google Review Study Using Lexicon-SVM Approaches
[NO] 341/1000 | Implementation of YOLOv11 for Automatic Offside Detection in Football
[NO] 342/1000 | Advanced Deep Reinforcement Learning for Heat Pump Control in Residential Buildings
[NO] 343/1000 | MVDC and MVAC Comparison for Stability and Frequency Support in Expanding Distribution Grids with Intermittent Resources
[NO] 344/1000 | Evaluating the Impact of Modeling Parameters on BEMT Simulations
[NO] 345/1000 | Miniaturized Dual-Beam SERF Magnetometer Using Natural Abundance Rubidium
[NO] 346/1000 | On the Damping Redistribution Mechanism of Angle-Voltage Coupling Dynamics in Power Systems with Hybrid GFM-GFL Devices
[NO] 347/1000 | Research on Intelligent Monitoring Data System of Power System Grounding Using High Conductivity Fiber Materials
[NO] 348/1000 | Multi-Stage Scenario Reduction for Optimal Energy Storage Operation in Real-Time Markets
[NO] 349/1000 | A Hybrid Deep Learning Model for Parkinson’s Stage using Voice and Hand Drawn Image Analysis
[NO] 350/1000 | The X-ray CT observation of the liberation mechanism of concrete sample under the influence of high voltage pulse
[NO] 351/1000 | Incentive-based Coordinated Charging Framework for EVs in Distribution Network with User Preferences
[NO] 352/1000 | ResNet-Based Visual Feature Analysis and System Design for Rural Imagery
[NO] 353/1000 | CAAF-ResUnet: Dynamic Fusion of Attention Mechanisms for Context-Aware Lung CT Scan Segmentation
[NO] 354/1000 | Hierarchical Grid-Robust Discretization of the Electric-Field Integral Equation by the Method of Moments
[NO] 355/1000 | Space-Time Modulated Metasurface-Based EM Tags for Coding Capacity Enhancement
[NO] 356/1000 | Secure Government Health Data Management Through Blockchain and DBMS Integration
[NO] 357/1000 | Research on Voltage Stability of Distribution Network Based on Forward-Backward Sweep Power Flow Calculation
[NO] 358/1000 | Experimental Assessment of the Performance of an Electron Cyclotron Resonance Acceleration (ECRA) Thruster Operated with Iodine
[NO] 359/1000 | HaLow Simulator for Dense Wireless Networks
[NO] 360/1000 | EmbedRank-LM: Natural Language-Driven Web Element Identification for Automated UI Testing
[NO] 361/1000 | Multi-Scene Layered Container Pre-Migration Method for Satellite Task Continuity
[NO] 362/1000 | Illumination-Adaptive ORB Framework with Hybrid Threshold Fusion for Robust River Surface Flow Measurement
[NO] 363/1000 | A Directional Scale-based Cosine Similarity Indicator for Adaptive Particle Swarm Optimization
[NO] 364/1000 | A Hybrid Acoustic-Optical Communication Technique for Ultra-Low Latency Underwater IoT Network
[NO] 365/1000 | Research Progress of Precision Current Measurement Based on Quantum Sensing
[NO] 366/1000 | Lightweight Architectures for Binary Segmentation of Fresh Mud Deposits in UAV Imagery
[NO] 367/1000 | Forecasting the Future: Exploring the Effectiveness of SARIMA and LSTM Models for Vegetable Price Prediction in Karachi, Pakistan
[NO] 368/1000 | Research on a Filter Defect Detection System Based on Jetson Nano and YOLOv13
[NO] 369/1000 | Scaling Up the Sustainability of Photonic Tensor Cores With Device-Circuit-Signaling Co-Design
[NO] 370/1000 | Implementation of the T5-small Model for Abstractive Text Summarization in SEO Meta Description Generation
[NO] 371/1000 | Estimating Electric Fields from $\mathrm{B}_{1}$ Maps in Circular and Elliptic Cylinders with Deep Learning
[NO] 372/1000 | AI-Driven Integrated Logistics Framework for Antimalarial Drug Distribution in Remote Areas
[NO] 373/1000 | Fuzzy Logic for Evaluating the Acquisition of Soft Skills Through Adaptive Scenarios in Game-Based Learning: The Case of EPATHLO
[NO] 374/1000 | Comparative Analysis of Static and Dynamic Cascading Simulators as Data Sources for Machine Learning Model Training
[NO] 375/1000 | $\mu\text{STT}$: Microarchitecture Design for Speculative Taint Tracking
[NO] 376/1000 | PriME: PIM-Aware Efficient Compression for Memory-Bound Embedding Layers in sLLMs
[NO] 377/1000 | Security Evaluation of Quantum Circuit Split Compilation Under an Oracle-Guided Attack
[NO] 378/1000 | A UAV-Based Far-Field Measurement System for HF Antennas
[NO] 379/1000 | Fusion-based Multimodal Deep Learning for E-commerce Product Attribute Classification
[NO] 380/1000 | Approximate Model Predictive Control for Heating of Arbitrary Buildings Without Thermal Modeling
[NO] 381/1000 | Simple Method for Complementing Frequency Response of Hydropower Plants with Energy Storage
[NO] 382/1000 | Optimization and Development of a Ventilation System for Public Toilets based on Toxic Gas Level
[NO] 383/1000 | Data-Driven Destination Intelligence: From Tourist Reviews to Personalized Recommendations with BERT-CNN Sentiment Analysis for Smart Tourism
[NO] 384/1000 | MSOD - A Small Obstacle Detection Network for Open-Pit Mining Areas
[NO] 385/1000 | Development of a Measurement System and Methodology for Determining Dead Layer Thickness in HPGe Crystals
[NO] 386/1000 | HAPS for Mitigating RAN Traffic Peaks amid Rising Demand and B5G Evolution
[YES] 387/1000 | CABENCH: Benchmarking Composable Ai for Solving Complex Tasks through Composing Ready-to-Use Models
[NO] 388/1000 | Minimizing Read Disturb via Localized Page Allocation for Modern NAND Flash-Based SSDs
[NO] 389/1000 | Navigating Diversity in Group Tourism for Itinerary Planning with GNNs: An Indian Contextual Approach
[NO] 390/1000 | Gateway-Side Distributed Frame Deduplication for LoRaWAN
[NO] 391/1000 | Research on the Construction of Coupling Algorithm Based on Improved Particle Swarm Algorithm for Optimizing BP Neural Networks
[NO] 392/1000 | Real-Time False Data Injection Attack Detection Using Adaptive Random Forest and Sliding Window CUSUM
[NO] 393/1000 | A Note on Different Source Models for Dipole Antennas in Ghz Frequency Range
[NO] 394/1000 | Power-Dependent Efficiency Model of EV Chargers for Distribution Grid Simulations
[NO] 395/1000 | Real-Time ECG Analytics and Arrhythmia Detection
[NO] 396/1000 | Optimized GhostNet–ViT and Attention U-Net Pipeline for Accurate Prediction for Medical Diagnosis
[NO] 397/1000 | Advancing AI Healthcare: RNN for Global Mpox Spread Prediction
[NO] 398/1000 | Multi-Hop Load Balancing with Deep Q-Learning for Scalable WSN Deployment
[NO] 399/1000 | Att-BKA: A Self-Attention-Guided Black-winged Kite Algorithm for Complex Optimization Problems
[NO] 400/1000 | STOT-USleepNet: A Study of Sleep Stage Classification Based on EEG Signals
[NO] 401/1000 | High-Jitter Signal Reconstruction via Cubic Spline Interpolation Integrated with Empirical Mode Decomposition
[NO] 402/1000 | Design of LCR Measurement module based on Excitation Tuning and Time Interval Detection
[NO] 403/1000 | Research on Computer Vision Image Preprocessing and Target Detection Optimization Algorithm Driven by Fully Convolutional Neural Network
[NO] 404/1000 | Simulation of Vibration Induced by coil in the preliminary research device of Magnetic Confinement Deuterium-Deuterium Fusion Neutron Source
[NO] 405/1000 | A Target-Oriented 3D Reconstruction with Array-Insar Images
[NO] 406/1000 | An Enhanced Matrix Completion-Based Interference Mitigation Method for FMCW Radar
[NO] 407/1000 | AceHomo: Accelerating Privacy Preserving Inference Through Dynamic Level Adjustment
[NO] 408/1000 | Autonomous Contract Analysis and Clause Risk Detection using Legal-BERT
[NO] 409/1000 | High Frequency Characterization of Ultra-Thin Transparent Films
[NO] 410/1000 | Data Driven Approach for Early Risk Assessment of Cardiovascular Disease through Logistic Regression
[NO] 411/1000 | SiGrid: Gridifying Scatterplots with Sector-Based Regularization and Hagrid
[NO] 412/1000 | Agent Attention Meets Diffusion: A Dual-Scale Framework for Medical Image Classification
[NO] 413/1000 | Aquaculture Monitoring: Intelligent Sensing and Control for Maximum Yield
[NO] 414/1000 | Sharing is Caring: Analysis of Hybrid Network Sharing Strategies for Energy Efficient Multi-Operator Cellular Systems
[NO] 415/1000 | Design of Low Power 2-Bit Comparator Using Transmission Gate Logic
[NO] 416/1000 | Helicon Wave-Plasma Interaction in Linear and Toroidal Geometries with Birdcage Resonant Antennas
[NO] 417/1000 | AutoKNN: An AutoML Web Application for K-Nearest Neighbours Classification
[NO] 418/1000 | Visual Fingerprints for Detecting Data Characteristics
[NO] 419/1000 | Value Stacking of Batteries for Multi-Factorial Degradation Through Iterative Quadratic Fitting
[NO] 420/1000 | Small-Signal Stability Assessment of Low-Voltage DC Networks: Experimental Validation
[NO] 421/1000 | Remote Sensing of Snow from Modeling to Application for Memory of Jeff Dozier
[NO] 422/1000 | Coordinating Artificial Intelligence and Bitcoin Mining Workloads: A Risk-Aware Distributional Multi-Agent Reinforcement Learning Approach
[NO] 423/1000 | Establishment of a Weighted Risk Model for Diabetes Among U.S. Residents Based on BRFSS
[NO] 424/1000 | Augmented Reality in Patient Monitoring System Using Embedded Sensors
[NO] 425/1000 | Emotion-Aware Access Control using Mask-Resilient Facial Analysis with Hybrid CNN-Transformer Architecture
[NO] 426/1000 | Representative Load Profiles and Low-Voltage Grid Simulations for Austria
[NO] 427/1000 | A Novel Data Generation Method Based on VMD and Ada-Con-DDPM for RF Front-end Fault Diagnosis Under Imbalanced Data
[NO] 428/1000 | Oops!... They Stole it Again: Attacks on Split Learning
[NO] 429/1000 | List of Reviewers
[NO] 430/1000 | Comparison of Multi-Source Satellite SEA Ice Concentration Products
[NO] 431/1000 | Message from Organizers
[NO] 432/1000 | Driver Monitoring Systems: Advances, Challenges, and Future Directions in Non-Contact Sensor Technologies – A Review
[NO] 433/1000 | Mechanism Analysis and Experimental Verification for Molecular Structure Influence on Lightning Impulse Performance of Different Ester-Based Oil
[NO] 434/1000 | Enhancing Hyperspectral Image Classification with Spectral-Spatial Convolutional FourierKAN Transformer
[NO] 435/1000 | Determinants of Success for Technology Business Incubators in India
[NO] 436/1000 | A Survey of Behavior Foundation Model: Next-Generation Whole-Body Control System of Humanoid Robots
[NO] 437/1000 | Special Issue on Cache Coherent Interconnects and Resource Disaggregation Techniques
[NO] 438/1000 | A Flexible Multi-Agent Deep Reinforcement Learning Framework for Dynamic Routing and Scheduling of Latency-Critical Services
[NO] 439/1000 | Theoretical Analysis for Interaction Mechanisms in Dual-Electron Beam Slow Wave System
[NO] 440/1000 | IEEE Transactions on Multimedia Publication Information
[NO] 441/1000 | <i>Sifting Truth From Spectacle!</i>
                    a Multimodal Hindi Dataset for Misinformation Detection With Emotional Cues and Sentiments
[NO] 442/1000 | Optimization-Based Data Recovery After False Data Injection Attacks on State Estimators Using Measurements Inertia and Calibrated Predictions
[NO] 443/1000 | Analytical Error Evaluation and Hardware Implementation of Approximate Negation Circuits
[NO] 444/1000 | ASTNet: Adaptive Spatio-temporal Transformer for Efficient Video Deblurring
[NO] 445/1000 | Fostering Digital Health Innovation in Malaysia: The Role of Strategic Policies and Ecosystem Development
